countryCode,name,wikidataID,gender,twitterScreenname,twitterID,positionHeld,group,groupFromState,district
US,Dianne Feinstein,http://www.wikidata.org/entity/Q230733,female,senfeinstein,476256944,United States senator,Democratic Party,Democratic Party,California Class 1 senate seat
US,Mitch McConnell,http://www.wikidata.org/entity/Q355522,male,mcconnellpress || leadermcconnell,339822881 || 1249982359,United States senator,Republican Party,Republican Party,Kentucky Class 2 senate seat
US,Bernie Sanders,http://www.wikidata.org/entity/Q359442,male,berniesanders || sensanders,216776631 || 29442313,United States senator,Democratic Party || independent politician || Liberty Union Party,independent politician,Vermont Class 1 senate seat
US,Roger Wicker,http://www.wikidata.org/entity/Q390491,male,senatorwicker,264219447,United States senator,Republican Party,Republican Party,Mississippi Class 1 senate seat
US,Lamar Alexander,http://www.wikidata.org/entity/Q419976,male,senalexander,76649729,United States senator,Republican Party,Republican Party,Tennessee Class 2 senate seat
US,Marsha Blackburn,http://www.wikidata.org/entity/Q458971,female,marshablackburn,278145569,United States senator,Republican Party,Republican Party,Tennessee Class 1 senate seat
US,Tim Scott,http://www.wikidata.org/entity/Q561315,male,senatortimscott,217543151,United States senator,Republican Party,Republican Party,South Carolina Class 3 senate seat
US,Mike Lee,http://www.wikidata.org/entity/Q627098,male,senmikelee || basedmikelee,88784440 || 1551266822460162051,United States senator,Republican Party,Republican Party,Utah Class 3 senate seat
US,Jim Risch,http://www.wikidata.org/entity/Q721871,male,senatorrisch,1096059529,United States senator,Republican Party,Republican Party,Idaho Class 2 senate seat
US,Bill Cassidy,http://www.wikidata.org/entity/Q861999,male,senatorcassidy || billcassidy,2479160868 || 55677432,United States senator,Republican Party,Republican Party,Louisiana Class 2 senate seat
US,Rob Portman,http://www.wikidata.org/entity/Q926069,male,robportman || senrobportman,2612307559 || 18915145,United States senator,Republican Party,Republican Party,Ohio Class 3 senate seat
US,Tammy Duckworth,http://www.wikidata.org/entity/Q3036410,female,tammyduckworth || senduckworth,328679423 || 1058520120,United States senator,Democratic Party,Democratic Party,Illinois Class 3 senate seat
US,Cindy Hyde-Smith,http://www.wikidata.org/entity/Q5120540,female,cindyhydesmith || senhydesmith,262192574 || 983348251972816896,United States senator,Republican Party || Democratic Party || independent politician,Republican Party,Mississippi Class 2 senate seat
US,Joni Ernst,http://www.wikidata.org/entity/Q13475242,female,joniernst || senjoniernst,1383059977 || 2856787757,United States senator,Republican Party || Republican Party of Iowa,Republican Party,Iowa Class 2 senate seat
US,Doug Jones,http://www.wikidata.org/entity/Q30122825,male,sendougjones,941080085121175552,United States senator,Democratic Party,Democratic Party,Alabama Class 2 senate seat
US,Mazie Hirono,http://www.wikidata.org/entity/Q16476,female,mazieforhawaii || maziehirono,169198625 || 92186819,United States senator,Democratic Party,Democratic Party,Hawaii Class 1 senate seat
US,Kirsten Gillibrand,http://www.wikidata.org/entity/Q22222,female,sengillibrand,72198806,United States senator,Democratic Party,Democratic Party,New York Class 1 senate seat
US,James Lankford,http://www.wikidata.org/entity/Q45940,male,senatorlankford,225921757,United States senator,Republican Party,Republican Party,Oklahoma Class 3 senate seat
US,Patrick Leahy,http://www.wikidata.org/entity/Q59315,male,senatorleahy,242836537,United States senator,Democratic Party,Democratic Party,Vermont Class 3 senate seat
